CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,NPOPCHG2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024
10180,,,"Abilene, TX",Metropolitan Statistical Area,176611,176926,177918,180072,182838,184278,315,992,2154,2766,1440,500,2145,2264,2218,1995,434,2377,2195,1912,1901,66,-232,69,306,94,3,144,780,1008,1178,195,1017,1331,1449,169,198,1161,2111,2457,1347,51,63,-26,3,-1
10180,,48059,"Callahan County, TX",County or equivalent,13710,13753,14106,14275,14455,14615,43,353,169,180,160,27,129,142,150,139,49,234,217,170,173,-22,-105,-75,-20,-34,0,0,6,5,8,71,477,238,197,189,71,477,244,202,197,-6,-19,0,-2,-3
10180,,48253,"Jones County, TX",County or equivalent,19663,19680,19903,20316,20765,20850,17,223,413,449,85,40,148,157,159,136,55,289,235,212,214,-15,-141,-78,-53,-78,0,4,10,7,8,26,369,454,482,155,26,373,464,489,163,6,-9,27,13,0
10180,,48441,"Taylor County, TX",County or equivalent,143238,143493,143909,145481,147618,148813,255,416,1572,2137,1195,433,1868,1965,1909,1720,330,1854,1743,1530,1514,103,14,222,379,206,3,140,764,996,1162,98,171,639,770,-175,101,311,1403,1766,987,51,91,-53,-8,2
10420,,,"Akron, OH",Metropolitan Statistical Area,702211,701689,696602,698506,700094,702209,-522,-5087,1904,1588,2115,1704,6715,6890,6787,6552,2172,8655,9205,8179,7839,-468,-1940,-2315,-1392,-1287,31,538,2132,2507,3039,-281,-3901,2273,621,360,-250,-3363,4405,3128,3399,196,216,-186,-148,3
10420,,39133,"Portage County, OH",County or equivalent,161798,161854,159086,161924,163075,163839,56,-2768,2838,1151,764,326,1327,1381,1377,1348,428,1785,1995,1715,1652,-102,-458,-614,-338,-304,7,105,445,575,694,84,-2267,2824,936,372,91,-2162,3269,1511,1066,67,-148,183,-22,2
10420,,39153,"Summit County, OH",County or equivalent,540413,539835,537516,536582,537019,538370,-578,-2319,-934,437,1351,1378,5388,5509,5410,5204,1744,6870,7210,6464,6187,-366,-1482,-1701,-1054,-983,24,433,1687,1932,2345,-365,-1634,-551,-315,-12,-341,-1201,1136,1617,2333,129,364,-369,-126,1
10500,,,"Albany, GA",Metropolitan Statistical Area,148914,148253,144976,145873,145538,145451,-661,-3277,897,-335,-87,444,1717,1689,1660,1675,598,1866,2007,1819,1800,-154,-149,-318,-159,-125,1,19,144,193,232,-465,-2970,1020,-350,-189,-464,-2951,1164,-157,43,-43,-177,51,-19,-5
10500,,13095,"Dougherty County, GA",County or equivalent,85796,85161,82271,82972,82635,82418,-635,-2890,701,-337,-217,268,1108,1035,1054,1082,382,1147,1196,1091,1084,-114,-39,-161,-37,-2,1,14,105,120,141,-464,-2672,693,-412,-352,-463,-2658,798,-292,-211,-58,-193,64,-8,-4
10500,,13177,"Lee County, GA",County or equivalent,33159,33218,33210,33699,33928,34073,59,-8,489,229,145,93,298,353,304,299,85,299,335,299,286,8,-1,18,5,13,0,4,38,72,89,39,-22,437,162,43,39,-18,475,234,132,12,11,-4,-10,0
10500,,13273,"Terrell County, GA",County or equivalent,9184,9140,8927,8782,8704,8698,-44,-213,-145,-78,-6,17,84,85,93,95,52,128,150,144,155,-35,-44,-65,-51,-60,0,0,2,1,2,-11,-165,-81,-28,52,-11,-165,-79,-27,54,2,-4,-1,0,0
10500,,13321,"Worth County, GA",County or equivalent,20775,20734,20568,20420,20271,20262,-41,-166,-148,-149,-9,66,227,216,209,199,79,292,326,285,275,-13,-65,-110,-76,-76,0,1,-1,0,0,-29,-111,-29,-72,68,-29,-110,-30,-72,68,1,9,-8,-1,-1
10540,,,"Albany, OR",Metropolitan Statistical Area,128609,128967,130062,130516,131509,132474,358,1095,454,993,965,358,1480,1375,1393,1388,387,1530,1760,1549,1510,-29,-50,-385,-156,-122,1,6,31,130,163,393,1092,815,1017,924,394,1098,846,1147,1087,-7,47,-7,2,0
10540,,41043,"Linn County, OR",County or equivalent,128609,128967,130062,130516,131509,132474,358,1095,454,993,965,358,1480,1375,1393,1388,387,1530,1760,1549,1510,-29,-50,-385,-156,-122,1,6,31,130,163,393,1092,815,1017,924,394,1098,846,1147,1087,-7,47,-7,2,0
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899246,899778,905557,904216,907223,913485,532,5779,-1341,3007,6262,2168,8397,8355,8264,8283,2326,9229,9513,8860,8681,-158,-832,-1158,-596,-398,19,844,2972,4613,5572,827,5442,-2717,-815,1080,846,6286,255,3798,6652,-156,325,-438,-195,8
10580,,36001,"Albany County, NY",County or equivalent,314838,314024,316817,316287,318000,319964,-814,2793,-530,1713,1964,765,2813,2778,2719,2726,863,3193,3126,2940,2867,-98,-380,-348,-221,-141,18,479,1676,2560,3095,-712,2659,-1748,-561,-990,-694,3138,-72,1999,2105,-22,35,-110,-65,0
10580,,36083,"Rensselaer County, NY",County or equivalent,161130,160888,160645,159530,159846,160749,-242,-243,-1115,316,903,398,1527,1465,1499,1502,416,1690,1853,1672,1620,-18,-163,-388,-173,-118,0,129,487,817,994,-247,-345,-1160,-290,21,-247,-216,-673,527,1015,23,136,-54,-38,6
10580,,36091,"Saratoga County, NY",County or equivalent,235507,235811,237885,238491,238873,240360,304,2074,606,382,1487,509,2024,2070,2050,2056,512,2199,2366,2204,2192,-3,-175,-296,-154,-136,0,101,346,521,636,230,2070,730,65,983,230,2171,1076,586,1619,77,78,-174,-50,4
10580,,36093,"Schenectady County, NY",County or equivalent,158045,159294,160066,159846,160378,162261,1249,772,-220,532,1883,440,1771,1813,1749,1752,475,1784,1810,1695,1662,-35,-13,3,54,90,1,134,452,696,824,1524,567,-589,-180,970,1525,701,-137,516,1794,-241,84,-86,-38,-1
10580,,36095,"Schoharie County, NY",County or equivalent,29726,29761,30144,30062,30126,30151,35,383,-82,64,25,56,262,229,247,247,60,363,358,349,340,-4,-101,-129,-102,-93,0,1,11,19,23,32,491,50,151,96,32,492,61,170,119,7,-8,-14,-4,-1
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916669,917747,919682,920200,923477,926303,1078,1935,518,3277,2826,2139,8699,8673,8828,8863,2251,9943,10511,9300,9163,-112,-1244,-1838,-472,-300,84,1054,2820,3685,4530,883,1610,-84,186,-1378,967,2664,2736,3871,3152,223,515,-380,-122,-26
10740,,35001,"Bernalillo County, NM",County or equivalent,676446,676882,675410,673039,672572,671747,436,-1472,-2371,-467,-825,1608,6393,6511,6561,6579,1694,7362,7717,6871,6721,-86,-969,-1206,-310,-142,74,921,2463,3213,3943,240,-1968,-3225,-3219,-4618,314,-1047,-762,-6,-675,208,544,-403,-151,-8
10740,,35043,"Sandoval County, NM",County or equivalent,148839,149301,151509,153509,155943,157757,462,2208,2000,2434,1814,310,1317,1222,1289,1301,334,1473,1589,1440,1468,-24,-156,-367,-151,-167,3,50,212,354,435,482,2343,2121,2210,1553,485,2393,2333,2564,1988,1,-29,34,21,-7
10740,,35057,"Torrance County, NM",County or equivalent,15047,15057,15311,15398,15699,15986,10,254,87,301,287,30,159,152,156,158,34,213,226,188,185,-4,-54,-74,-32,-27,1,8,2,3,4,10,310,163,326,313,11,318,165,329,317,3,-10,-4,4,-3
10740,,35061,"Valencia County, NM",County or equivalent,76337,76507,77452,78254,79263,80813,170,945,802,1009,1550,191,830,788,822,825,189,895,979,801,789,2,-65,-191,21,36,6,75,143,115,148,151,925,857,869,1374,157,1000,1000,984,1522,11,10,-7,4,-8
10780,,,"Alexandria, LA",Metropolitan Statistical Area,152192,151811,150910,148999,148382,148008,-381,-901,-1911,-617,-374,467,1923,1822,1850,1795,520,2297,2245,1967,1894,-53,-374,-423,-117,-99,1,50,137,499,590,-329,-643,-1641,-999,-864,-328,-593,-1504,-500,-274,0,66,16,0,-1
10780,,22043,"Grant Parish, LA",County or equivalent,22176,22153,22264,22022,21929,22109,-23,111,-242,-93,180,61,291,239,261,252,59,288,302,271,256,2,3,-63,-10,-4,0,7,22,72,87,-31,88,-204,-149,98,-31,95,-182,-77,185,6,13,3,-6,-1
10780,,22079,"Rapides Parish, LA",County or equivalent,130016,129658,128646,126977,126453,125899,-358,-1012,-1669,-524,-554,406,1632,1583,1589,1543,461,2009,1943,1696,1638,-55,-377,-360,-107,-95,1,43,115,427,503,-298,-731,-1437,-850,-962,-297,-688,-1322,-423,-459,-6,53,13,6,0
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861898,861575,870124,871414,878487,886418,-323,8549,1290,7073,7931,2081,8409,8202,8015,7951,2928,9524,9659,8896,8691,-847,-1115,-1457,-881,-740,53,1011,3593,6222,7423,185,8478,-381,1873,1254,238,9489,3212,8095,8677,286,175,-465,-141,-6
10900,,34041,"Warren County, NJ",County or equivalent,109635,109520,110464,110885,111344,112031,-115,944,421,459,687,234,952,1041,966,945,432,1107,1252,1166,1108,-198,-155,-211,-200,-163,0,71,266,414,485,41,989,444,283,369,41,1060,710,697,854,42,39,-78,-38,-4
10900,,42025,"Carbon County, PA",County or equivalent,64754,64752,65523,65466,65427,65743,-2,771,-57,-39,316,138,625,554,532,530,230,989,1000,911,886,-92,-364,-446,-379,-356,0,5,40,92,107,79,1146,369,258,572,79,1151,409,350,679,11,-16,-20,-10,-7
10900,,42077,"Lehigh County, PA",County or equivalent,374552,374493,375922,377019,380872,385655,-59,1429,1097,3853,4783,1013,4015,3900,3818,3802,1201,3909,3844,3533,3568,-188,106,56,285,234,46,718,2448,4277,5104,-40,281,-1223,-646,-564,6,999,1225,3631,4540,123,324,-184,-63,9
10900,,42095,"Northampton County, PA",County or equivalent,312957,312810,318215,318044,320844,322989,-147,5405,-171,2800,2145,696,2817,2707,2699,2674,1065,3519,3563,3286,3129,-369,-702,-856,-587,-455,7,217,839,1439,1727,105,6062,29,1978,877,112,6279,868,3417,2604,110,-172,-183,-30,-4
11020,,,"Altoona, PA",Metropolitan Statistical Area,122821,122664,122160,120796,120494,120269,-157,-504,-1364,-302,-225,287,1156,1172,1186,1170,386,1961,1887,1689,1712,-99,-805,-715,-503,-542,0,17,82,185,221,-82,181,-712,46,99,-82,198,-630,231,320,24,103,-19,-30,-3
11020,,42013,"Blair County, PA",County or equivalent,122821,122664,122160,120796,120494,120269,-157,-504,-1364,-302,-225,287,1156,1172,1186,1170,386,1961,1887,1689,1712,-99,-805,-715,-503,-542,0,17,82,185,221,-82,181,-712,46,99,-82,198,-630,231,320,24,103,-19,-30,-3
11100,,,"Amarillo, TX",Metropolitan Statistical Area,268705,269051,269858,270751,272981,274650,346,807,893,2230,1669,819,3250,3429,3471,3504,656,3333,3274,2881,2856,163,-83,155,590,648,2,256,951,1136,1393,171,696,-328,525,-336,173,952,623,1661,1057,10,-62,115,-21,-36
11100,,48011,"Armstrong County, TX",County or equivalent,1848,1851,1839,1857,1830,1809,3,-12,18,-27,-21,3,22,20,20,20,7,39,29,31,32,-4,-17,-9,-11,-12,0,0,0,3,4,9,5,26,-20,-13,9,5,26,-17,-9,-2,0,1,1,0
11100,,48065,"Carson County, TX",County or equivalent,5801,5794,5716,5809,5865,5822,-7,-78,93,56,-43,8,48,60,63,63,21,94,92,81,70,-13,-46,-32,-18,-7,0,0,1,1,2,4,-29,119,75,-37,4,-29,120,76,-35,2,-3,5,-2,-1
11100,,48359,"Oldham County, TX",County or equivalent,1758,1763,1736,1764,1787,1823,5,-27,28,23,36,7,30,24,26,27,4,19,20,21,22,3,11,4,5,5,0,1,17,15,19,2,-39,9,4,12,2,-38,26,19,31,0,0,-2,-1,0
11100,,48375,"Potter County, TX",County or equivalent,118557,118309,116509,115100,115309,114649,-248,-1800,-1409,209,-660,395,1500,1613,1609,1623,334,1656,1629,1369,1342,61,-156,-16,240,281,2,192,671,808,995,-313,-1809,-2156,-820,-1912,-311,-1617,-1485,-12,-917,2,-27,92,-19,-24
11100,,48381,"Randall County, TX",County or equivalent,140741,141334,144058,146221,148190,150547,593,2724,2163,1969,2357,406,1650,1712,1753,1771,290,1525,1504,1379,1390,116,125,208,374,381,0,63,262,309,373,469,2568,1674,1286,1614,469,2631,1936,1595,1987,8,-32,19,0,-11
11180,,,"Ames, IA",Metropolitan Statistical Area,125246,125353,126453,126565,128068,129227,107,1100,112,1503,1159,259,1054,1103,1122,1122,198,953,1015,993,937,61,101,88,129,185,16,280,676,1065,1290,-18,636,-616,339,-324,-2,916,60,1404,966,48,83,-36,-30,8
11180,,19015,"Boone County, IA",County or equivalent,26712,26702,26770,26570,26567,26729,-10,68,-200,-3,162,59,263,262,281,280,77,346,356,359,331,-18,-83,-94,-78,-51,0,2,0,0,1,-1,139,-96,83,212,-1,141,-96,83,213,9,10,-10,-8,0
11180,,19169,"Story County, IA",County or equivalent,98534,98651,99683,99995,101501,102498,117,1032,312,1506,997,200,791,841,841,842,121,607,659,634,606,79,184,182,207,236,16,278,676,1065,1289,-17,497,-520,256,-536,-1,775,156,1321,753,39,73,-26,-22,8
11200,,,"Amherst Town-Northampton, MA",Metropolitan Statistical Area,162308,148589,165069,165397,165686,165399,-13719,16480,328,289,-287,262,900,946,910,909,460,1374,1454,1440,1438,-198,-474,-508,-530,-529,6,278,1092,984,1198,-10507,18015,-167,-128,-966,-10501,18293,925,856,232,-3020,-1339,-89,-37,10
